boxscore_index,date,datetime,day,extra_points_attempted,extra_points_made,field_goals_attempted,field_goals_made,fourth_down_attempts,fourth_down_conversions,interceptions,location,opponent_abbr,opponent_name,overtime,pass_attempts,pass_completion_rate,pass_completions,pass_touchdowns,pass_yards,pass_yards_per_attempt,points_allowed,points_scored,punt_yards,punts,quarterback_rating,result,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,type,week,yards_lost_from_sacks
199909120chi,September 12,1999-09-12,Sun,2,2,2,2,0,0,0,Home,KAN,Kansas City Chiefs,False,47,66.0,31,2,307,6.9,17,20,185,5,98.4,Win,28,0,81,2.9,18,10,34:43,1,Reg,1,15
199909190chi,September 19,1999-09-19,Sun,1,1,4,2,2,2,0,Home,SEA,Seattle Seahawks,False,44,52.3,23,0,196,4.9,14,13,240,5,64.2,Loss,30,1,115,3.8,18,7,31:57,3,Reg,2,20
199909260rai,September 26,1999-09-26,Sun,2,2,3,1,0,0,1,Away,RAI,Oakland Raiders,False,35,65.7,23,2,198,6.2,24,17,192,4,87.6,Loss,16,0,34,2.1,13,4,25:31,3,Reg,3,18
199910030chi,October 3,1999-10-03,Sun,2,2,1,0,3,3,2,Home,NOR,New Orleans Saints,False,43,58.1,25,2,212,5.2,10,14,220,5,67.2,Win,28,0,112,4.0,19,8,28:50,3,Reg,4,12
199910100min,October 10,1999-10-10,Sun,3,3,4,1,1,0,0,Away,MIN,Minnesota Vikings,False,42,66.7,28,2,278,6.7,22,24,185,5,101.1,Win,33,0,101,3.1,16,6,33:26,1,Reg,5,3
199910170chi,October 17,1999-10-17,Sun,1,1,4,3,1,0,2,Home,PHI,Philadelphia Eagles,False,33,51.5,17,1,239,7.7,20,16,234,6,60.0,Loss,29,0,113,3.9,14,4,31:36,4,Reg,6,16
199910240tam,October 24,1999-10-24,Sun,0,0,2,1,1,1,2,Away,TAM,Tampa Bay Buccaneers,False,45,42.2,19,0,189,4.4,6,3,320,8,36.3,Loss,24,0,86,3.6,18,6,29:03,2,Reg,7,10
199910310was,October 31,1999-10-31,Sun,2,2,0,0,5,3,4,Away,WAS,Washington Redskins,False,63,57.1,36,3,371,6.1,48,22,220,5,63.7,Loss,26,0,74,2.8,23,12,35:56,3,Reg,8,14
199911070gnb,November 7,1999-11-07,Sun,2,2,1,0,2,1,3,Away,GNB,Green Bay Packers,False,34,52.9,18,1,151,4.6,13,14,156,4,37.7,Win,29,1,160,5.5,14,6,29:28,1,Reg,9,6
199911140chi,November 14,1999-11-14,Sun,3,3,2,1,1,0,1,Home,MIN,Minnesota Vikings,True,48,70.8,34,3,407,8.8,27,24,204,6,108.6,Loss,22,0,49,2.2,16,6,32:05,3,Reg,10,15
199911210sdg,November 21,1999-11-21,Sun,2,2,4,3,0,0,0,Away,SDG,San Diego Chargers,True,39,64.1,25,1,355,9.2,20,23,186,6,102.0,Win,28,1,75,2.7,15,5,42:03,1,Reg,11,2
199911250det,November 25,1999-11-25,Thu,2,2,1,1,0,0,1,Away,DET,Detroit Lions,False,39,64.1,25,2,184,5.2,21,17,396,9,81.6,Loss,12,0,52,4.3,12,2,21:44,2,Reg,12,20
199912050chi,December 5,1999-12-05,Sun,1,1,3,2,3,0,1,Home,GNB,Green Bay Packers,False,39,53.8,21,0,206,5.8,35,19,160,4,58.3,Loss,24,1,91,3.8,15,5,27:24,3,Reg,13,20
199912190chi,December 19,1999-12-19,Sun,4,4,1,0,1,0,2,Home,DET,Detroit Lions,False,36,75.0,27,4,292,8.4,10,28,84,3,112.3,Win,32,0,104,3.3,11,5,32:21,2,Reg,15,9
199912260ram,December 26,1999-12-26,Sun,1,0,0,0,3,0,2,Away,RAM,St. Louis Rams,False,55,58.2,32,2,365,7.1,34,12,260,5,75.2,Loss,17,0,69,4.1,13,5,26:17,4,Reg,16,26
200001020chi,January 2,2000-01-02,Sun,0,0,2,2,4,1,1,Home,TAM,Tampa Bay Buccaneers,False,42,47.6,20,0,186,4.7,20,6,240,5,50.3,Loss,18,0,71,3.9,12,0,23:16,2,Reg,17,10
